analytic_commander_id,commander_name,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,tier,stability_category,known_outcome_count,engagement_count,battle_count,broad_page_contribution_share,battle_siege_page_contribution_share,siege_row_share,provisional_role_category,strict_eligibility,exclude_from_headline_ranking,weak_battle_siege_support,recommended_action,rationale
acmd_36041001b0b5,Louis XIV,11,85.58950328022492,"Tier D, strong but narrow-category performer",stable,11,15,8,0.077055,0.922945,0.466667,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",12,85.47985004686036,"Tier A, robust elite",stable,15,20,17,0.0,1.0,0.25,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_b11217dd158b,Mehmed II,13,85.11152764761013,"Tier D, strong but narrow-category performer",stable,21,23,22,0.01843,0.98157,0.521739,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_4ed31628d983,Belisarius,14,85.02999062792877,"Tier D, strong but narrow-category performer",stable,18,18,15,0.021691,0.978309,0.444444,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_680356dbc48c,Louis-Gabriel Suchet,15,84.89409559512653,"Tier A, robust elite",very_stable,19,21,19,0.005759,0.994241,0.333333,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_9506d32c4783,André Masséna,16,84.28584817244611,"Tier A, robust elite",stable,37,43,40,0.0079,0.9921,0.139535,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",17,83.99250234301782,"Tier D, strong but narrow-category performer",very_stable,18,20,19,0.0,1.0,0.65,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_2ed09394c0e3,Khalid ibn al-Walid,18,83.5801312089972,"Tier A, robust elite",very_stable,39,41,40,0.0,1.0,0.146341,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_d7b7bb3c084e,Genghis Khan,19,83.50609184629803,"Tier D, strong but narrow-category performer",moderately_stable,15,15,12,0.044194,0.955806,0.466667,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_31e8258ee555,Hubert Gough,20,83.04029990627929,"Tier A, robust elite",stable,17,22,20,0.053235,0.946765,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_73ed44aa1867,Bernard Montgomery,21,82.21180880974696,"Tier B, elite but model-sensitive",stable,12,19,9,0.488638,0.511362,0.052632,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_d53c51d2e48c,Maharaja Ranjit Singh,22,82.12089971883786,"Tier B, elite but model-sensitive",moderately_stable,9,11,8,0.123879,0.876121,0.090909,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_52501a875538,Alexander the Great,23,81.81630740393626,"Tier D, strong but narrow-category performer",stable,11,18,17,0.01093,0.98907,0.388889,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_7ece542ce56e,Winfield Scott,24,81.72352389878164,"Tier B, elite but model-sensitive",moderately_stable,8,12,8,0.026489,0.973511,0.083333,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_ed6b2e7bab39,Hannibal,25,81.60262417994377,"Tier A, robust elite",stable,18,27,25,0.024998,0.975002,0.111111,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_9532eb3afefd,Enver Pasha,26,81.10777881911903,"Tier B, elite but model-sensitive",moderately_stable,9,14,8,0.064522,0.935478,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_ac43c188bcf2,Baybars,27,80.92502343017806,"Tier D, strong but narrow-category performer",stable,9,10,9,0.0,1.0,0.4,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_041804c2e06c,Peng Dehuai,28,80.7535145267104,"Tier B, elite but model-sensitive",moderately_stable,8,13,11,0.0,1.0,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_94390629dbd3,Frederick the Great,29,80.29334582942832,"Tier B, elite but model-sensitive",moderately_stable,24,26,21,0.030994,0.969006,0.192308,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_728cd65a1773,Heinz Guderian,30,80.22961574507967,"Tier B, elite but model-sensitive",stable,11,13,13,0.0,1.0,0.076923,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_e57884ddb832,Charles-Pierre Augereau,31,80.22961574507967,"Tier B, elite but model-sensitive",moderately_stable,26,29,24,0.030512,0.969488,0.068966,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_70fd3b0db695,Takeda Shingen,32,80.02999062792877,"Tier D, strong but narrow-category performer",stable,18,20,20,0.0,1.0,0.55,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_882696f48db2,Hari Singh Nalwa,33,79.99812558575447,"Tier B, elite but model-sensitive",stable,10,11,10,0.035888,0.964112,0.090909,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_9f7dff80cfa8,Aurangzeb,34,79.99718837863168,"Tier D, strong but narrow-category performer",moderately_stable,9,10,8,0.003328,0.996672,0.5,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_c82d0737a6d5,Ögedei Khan,35,79.54732895970011,"Tier B, elite but model-sensitive",moderately_stable,12,12,9,0.067446,0.932554,0.333333,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_8cc431cd8376,Dwight D. Eisenhower,36,79.46110590440486,"Tier C, high performer with evidence caveats",model_sensitive,9,13,5,0.542278,0.457722,0.0,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_7efa0f23739e,Katō Kiyomasa,37,79.41799437675726,"Tier D, strong but narrow-category performer",stable,10,12,11,0.025046,0.974954,0.666667,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_d689b62984e1,Tokugawa Ieyasu,38,79.38800374882848,"Tier D, strong but narrow-category performer",moderately_stable,12,14,13,0.02066,0.97934,0.5,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_44036d145325,Georgy Zhukov,39,79.34020618556703,"Tier B, elite but model-sensitive",moderately_stable,23,24,17,0.250609,0.749391,0.041667,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_d687b502db52,Mikhail Kutuzov,40,79.11246485473292,"Tier B, elite but model-sensitive",moderately_stable,9,13,11,0.064123,0.935877,0.076923,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_f47199d981fc,Stanisław Żółkiewski,41,79.0834114339269,"Tier D, strong but narrow-category performer",stable,10,11,11,0.0,1.0,0.363636,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_dbaafbd66e5b,Charles XII of Sweden,42,79.06466729147141,"Tier B, elite but model-sensitive",moderately_stable,21,22,21,0.00556,0.99444,0.136364,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_172afb0cb776,Fyodor Tolbukhin,43,79.01686972820991,"Tier B, elite but model-sensitive",moderately_stable,11,13,5,0.547167,0.452833,0.076923,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_b0bb8531c63e,Nikolai Vatutin,44,78.97563261480786,"Tier B, elite but model-sensitive",moderately_stable,12,13,8,0.47248,0.52752,0.0,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_0cf8151e7cf9,Rodion Malinovsky,45,78.86035613870665,"Tier C, high performer with evidence caveats",model_sensitive,13,16,8,0.562409,0.437591,0.0625,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_542b4086f360,Mustafa Kemal Atatürk,46,78.66073102155575,"Tier B, elite but model-sensitive",moderately_stable,22,28,21,0.035975,0.964025,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_b7e856700f22,Konstantin Rokossovsky,47,78.61855670103094,"Tier C, high performer with evidence caveats",model_sensitive,17,17,10,0.461188,0.538812,0.058824,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_be0dead43626,Peter Wittgenstein,48,78.55576382380507,"Tier B, elite but model-sensitive",moderately_stable,14,16,15,0.01146,0.98854,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_e106c97dfef1,Tolui,49,78.4714151827554,"Tier D, strong but narrow-category performer",moderately_stable,10,10,7,0.075602,0.924398,0.5,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_4553085c23c9,Fedor von Bock,50,78.41705716963448,"Tier B, elite but model-sensitive",stable,13,18,13,0.43661,0.56339,0.0,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_8ff67c26331f,Jean Victor Marie Moreau,51,78.28022492970948,"Tier C, high performer with evidence caveats",stable,21,22,22,0.0,1.0,0.090909,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_59f41bf60d8d,Ōyama Iwao,52,78.18931583880037,"Tier C, high performer with evidence caveats",stable,9,10,8,0.05684,0.94316,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_632d6e1b916a,Amr ibn al-As,53,78.00281162136832,"Tier C, high performer with evidence caveats",stable,10,12,12,0.0,1.0,0.25,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_cf14a194e3dc,Mahmud Pasha Angelović,54,77.98313027179006,"Tier D, strong but narrow-category performer",stable,10,11,11,0.0,1.0,0.454545,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_909d92cf788e,Maeda Toshiie,55,77.9821930646673,"Tier D, strong but narrow-category performer",moderately_stable,10,11,10,0.028504,0.971496,0.363636,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_9acc0b2c5ac1,Walter Krueger,56,77.98031865042176,"Tier C, high performer with evidence caveats",stable,12,12,9,0.225952,0.774048,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_ccc95a8b031b,Oliver Cromwell,57,77.86504217432054,"Tier C, high performer with evidence caveats",stable,6,19,15,0.041154,0.958846,0.315789,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,58,77.29147141518277,"Tier D, strong but narrow-category performer",stable,13,13,12,0.028287,0.971713,0.384615,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_73305bd7a7e8,Aleksandr Vasilevsky,59,77.25679475164013,"Tier C, high performer with evidence caveats",model_sensitive,9,9,4,0.564296,0.435704,0.0,high_level_mixed_case,ambiguous_requires_review,False,False,add_high_level_page_caveat,Broad-page share is high enough to require caveat or additional role verification.
acmd_6970e6b60c26,Saladin,60,77.2464854732896,"Tier D, strong but narrow-category performer",stable,11,21,21,0.0,1.0,0.571429,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_f3435c4f05ec,Claude-Victor Perrin,61,77.14339268978445,"Tier C, high performer with evidence caveats",model_sensitive,22,28,26,0.007812,0.992188,0.107143,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_eec0f4ec373e,Francis Vere,62,77.11527647610122,"Tier D, strong but narrow-category performer",stable,17,18,18,0.0,1.0,0.888889,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_429b31f5c5fd,Philip the Good,63,77.06747891283976,"Tier D, strong but narrow-category performer",stable,8,9,8,0.0,1.0,0.444444,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_8a9267fb6cd4,John III Sobieski,64,77.01312089971884,"Tier C, high performer with evidence caveats",stable,10,11,10,0.017295,0.982705,0.090909,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_6801fcdfc85b,Sayenqueraghta,65,76.91752577319589,"Tier C, high performer with evidence caveats",moderately_stable,9,9,7,0.04304,0.95696,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_6098828ef6a4,Petar Bojović,66,76.91181818181818,"Tier C, high performer with evidence caveats",moderately_stable,7,9,4,0.2145,0.785499,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,No major Pass 2 eligibility concern detected from current page-type evidence.
acmd_3435325eb9b0,George S. Patton,67,76.86129334582941,"Tier C, high performer with evidence caveats",model_sensitive,10,11,6,0.488468,0.511532,0.090909,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_9b46a317ac31,Ahmad Shah Durrani,68,76.76194939081537,"Tier C, high performer with evidence caveats",moderately_stable,9,10,9,0.0,1.0,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",69,76.60168697282099,"Tier C, high performer with evidence caveats",stable,7,13,10,0.0,1.0,0.153846,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_ed738e8e2d78,Ernst Gideon von Laudon,70,76.56982193064667,"Tier C, high performer with evidence caveats",moderately_stable,11,12,9,0.02194,0.97806,0.166667,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_a33c5f70ac13,Živojin Mišić,71,76.51545454545455,"Tier C, high performer with evidence caveats",moderately_stable,7,9,5,0.229041,0.770959,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_f0aba2fd984a,Kirill Meretskov,72,76.47235238987817,"Tier C, high performer with evidence caveats",model_sensitive,10,13,4,0.509047,0.490953,0.076923,high_level_mixed_case,ambiguous_requires_review,False,False,add_high_level_page_caveat,Broad-page share is high enough to require caveat or additional role verification.
acmd_38a594d34cab,"Édouard Mortier, Duke of Treviso",73,76.4208059981256,"Tier C, high performer with evidence caveats",moderately_stable,18,22,18,0.04671,0.95329,0.181818,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_231817819511,Nader Shah,74,76.33833177132148,"Tier C, high performer with evidence caveats",moderately_stable,16,20,17,0.018003,0.981997,0.3,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_ad691790bfae,Ferdinand Foch,75,76.3045923149016,"Tier C, high performer with evidence caveats",moderately_stable,15,19,18,0.0,1.0,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_7fb0d9d2735e,Ivan Konev,76,75.9597000937207,"Tier C, high performer with evidence caveats",moderately_stable,17,21,16,0.262919,0.737081,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_8859ec6c1865,Babur,77,75.88940955951267,"Tier D, strong but narrow-category performer",stable,7,11,11,0.0,1.0,0.363636,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_a318dc1eb6ce,Michel Ney,78,75.65979381443299,"Tier C, high performer with evidence caveats",model_sensitive,32,42,38,0.014492,0.985508,0.071429,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_6708954ecbb0,Jan Karol Chodkiewicz,79,75.50609184629803,"Tier C, high performer with evidence caveats",moderately_stable,10,12,12,0.0,1.0,0.166667,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_92915a68e51e,Jassa Singh Ahluwalia,80,75.39737582005624,"Tier C, high performer with evidence caveats",moderately_stable,8,11,10,0.0,1.0,0.272727,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_88665d708ff0,Bertrand du Guesclin,81,75.2427366447985,"Tier C, high performer with evidence caveats",moderately_stable,9,10,8,0.018474,0.981526,0.1,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_d1625dd6e2c5,Joseph Stalin,82,75.19868791002811,"Tier C, high performer with evidence caveats",model_sensitive,10,17,5,0.481762,0.518238,0.0,genuine_field_commander,eligible_field_commander,False,False,add_high_level_page_caveat,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_94064b179f40,Suleiman the Magnificent,83,74.97000937207123,"Tier D, strong but narrow-category performer",moderately_stable,16,16,16,0.0,1.0,0.875,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_b35177a2a7fb,Murad II,84,74.89784442361763,"Tier D, strong but narrow-category performer",moderately_stable,11,13,12,0.032704,0.967296,0.615385,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_e98a8506dc92,Ivan Bagramyan,85,74.87535145267104,"Tier C, high performer with evidence caveats",model_sensitive,10,11,4,0.713242,0.286758,0.0,high_level_operational_case,eligible_operational_commander,False,True,add_high_level_page_caveat,Mostly high-level operational evidence; keep only as caveated sensitivity until event-level support improves.
acmd_47cd11aab7f1,Gustavus Adolphus,86,74.7572633552015,"Tier C, high performer with evidence caveats",moderately_stable,12,20,16,0.0,1.0,0.2,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_64e8acafffef,Carl Gustaf Wrangel,87,74.70384254920339,"Tier C, high performer with evidence caveats",moderately_stable,8,10,9,0.028302,0.971698,0.1,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_dc8ad03ef21e,Michiel de Ruyter,88,74.53889409559511,"Tier C, high performer with evidence caveats",moderately_stable,11,15,10,0.045935,0.954065,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_fc2e14f0b93d,Prince Rupert of the Rhine,89,74.41049671977505,"Tier C, high performer with evidence caveats",moderately_stable,15,28,22,0.016956,0.983044,0.107143,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_e2d4eedc368b,Yamagata Aritomo,90,74.39727272727274,"Tier C, high performer with evidence caveats",moderately_stable,6,9,6,0.077601,0.922399,0.111111,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_021fcaeb00e7,Ambrogio Spinola,91,74.18650421743205,"Tier D, strong but narrow-category performer",moderately_stable,8,11,8,0.0,1.0,0.727273,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_0a61bdf63c60,Laurent de Gouvion Saint-Cyr,92,73.98031865042175,"Tier C, high performer with evidence caveats",moderately_stable,16,20,18,0.0,1.0,0.2,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_71b395590bf1,Zubayr ibn al-Awwam,93,73.69353327085287,"Tier C, high performer with evidence caveats",moderately_stable,8,10,9,0.053892,0.946108,0.0,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_8d5eefbeaa73,Guru Gobind Singh,94,73.630740393627,"Tier C, high performer with evidence caveats",moderately_stable,13,16,16,0.0,1.0,0.125,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_2bff122dc563,Date Masamune,95,73.61818181818182,"Tier D, strong but narrow-category performer",moderately_stable,6,7,6,0.030708,0.969292,0.428571,genuine_siege_or_engineering_commander,eligible_siege_or_engineering_commander,False,False,retain,Substantial siege-event support; keep as eligible but category-specific.
acmd_eb09136d57ea,Lennart Torstensson,96,73.61105904404874,"Tier C, high performer with evidence caveats",moderately_stable,8,12,10,0.03336,0.96664,0.166667,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_648481c38482,Honda Tadakatsu,97,73.56513589503281,"Tier C, high performer with evidence caveats",moderately_stable,9,10,9,0.043681,0.956319,0.2,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_c44af5203737,François Joseph Lefebvre,98,73.4461105904405,"Tier C, high performer with evidence caveats",model_sensitive,11,13,11,0.017036,0.982964,0.076923,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_e07beaf4ee37,"Louis, Grand Condé",99,73.43205248359888,"Tier C, high performer with evidence caveats",moderately_stable,10,13,11,0.0,1.0,0.076923,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
acmd_6204155930c2,Skanderbeg,100,73.26897844423618,"Tier C, high performer with evidence caveats",moderately_stable,10,17,15,0.044244,0.955756,0.235294,genuine_field_commander,eligible_field_commander,False,False,retain,Battle/siege support and known-outcome evidence are sufficient for headline sensitivity inclusion.
