analytic_commander_id,display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,side,belligerent,old_outcome_category,new_outcome_category,page_result_raw,page_result_type,override_justification,override_evidence_basis,override_source
acmd_99caa8adbe33,Alexander Patch,https://en.wikipedia.org/wiki/Alexander_Patch,battle_2070801,Operation Ke,Operation Ke,side_a,United States Australia Dominion of New Zealand,unknown,defeat,Japanese operational success,unknown,Retained page result begins with `japanese` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Japanese operational success,full_population_auto
acmd_52501a875538,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_745994,Battle of Chaeronea (338 BC),Battle of Chaeronea (338 BC),side_a,Macedon * Thessaly * Argos * Arcadia * Phocis,unknown,victory,Macedonian victory,victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory,top200_full_audit_auto
acmd_52501a875538,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_15296493,Siege of Gaza (332 BC),Siege of Gaza (332 BC),side_a,Macedon Hellenic League,unknown,victory,Macedonian victory,victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory,top200_full_audit_auto
acmd_52501a875538,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_898313,Siege of the Sogdian Rock,Siege of the Sogdian Rock,side_a,Macedon League of Corinth,unknown,victory,Macedonian victoryHorn Spencer 2012,unknown,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victoryHorn Spencer 2012,top200_full_audit_auto
acmd_7307f03221fa,Ali Abdullah Saleh,https://en.wikipedia.org/wiki/Ali_Abdullah_Saleh,battle_30112358,Operation Blow to the Head,Operation Blow to the Head,side_a,Yemen,unknown,indecisive,Truce,unknown,Retained page result is explicitly a truce.,page_result_raw=Truce,full_population_auto
acmd_ed227b9bc2a8,Ali Fuat Cebesoy,https://en.wikipedia.org/wiki/Ali_Fuat_Cebesoy,battle_35584358,Battle of the Gediz,Battle of the Gediz,side_b,Ottoman Empire Ankara Government Ottoman Empire Kuva-yi Milliye,unknown,indecisive,Inconclusive Greek forces later evacuate the Gediz and retreat to their winter bases Turkish forces enter the Gediz,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Greek forces later evacuate the Gediz and retreat to their winter bases Turkish forces enter the Gediz,full_population_auto
acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_10126467,Battle of Fahl,Battle of Fahl,side_a,Rashidun Caliphate,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,top200_full_audit_auto
acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_4246048,Battle of Nikiou,Battle of Nikiou,side_a,Rashidun Caliphate,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,top200_full_audit_auto
acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,side_a,Rashidun Caliphate,unknown,victory,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory,top200_full_audit_auto
acmd_224d435cffa0,Andrei Grechko,https://en.wikipedia.org/wiki/Andrei_Grechko,battle_1205652,Battle of the Dukla Pass,Battle of the Dukla Pass,side_b,Soviet Union Czechoslovakia Czechoslovakia,unknown,indecisive,Inconclusive Soviet failure to join Slovak rebel troops Eventual Axis withdrawal from the area,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Soviet failure to join Slovak rebel troops Eventual Axis withdrawal from the area,full_population_auto
acmd_7f9209730cd0,Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,battle_1387123,Battle of Talladega,Battle of Talladega,side_b,United States,unknown,victory,U.S. victory,victory,Retained page result begins with `u.s.` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=U.S. victory,full_population_auto
acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,battle_13067106,Battle of Znaim,Battle of Znaim,side_a,France French Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,top200_full_audit_auto
acmd_286dd73f3d2c,Angelo Iachino,https://en.wikipedia.org/wiki/Angelo_Iachino,battle_840266,Battle of Cape Spartivento,Battle of Cape Spartivento,side_b,Fascist Italy (1922–1943),unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_286dd73f3d2c,Angelo Iachino,https://en.wikipedia.org/wiki/Angelo_Iachino,battle_3019772,First Battle of Sirte,First Battle of Sirte,side_b,Fascist Italy (1922-1943),unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_d2f014f31c7c,Anne Hilarion de Tourville,https://en.wikipedia.org/wiki/Anne_Hilarion_de_Tourville,battle_877917,Action at Barfleur,Action at Barfleur,side_b,Kingdom of France,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_6b4b1ef1e152,Antipater,https://en.wikipedia.org/wiki/Antipater,battle_3120012,Battle of Megalopolis,Battle of Megalopolis,side_a,Macedon Hellenic League,unknown,victory,Macedonian victory,victory,Retained page result begins with `macedonian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Macedonian victory,full_population_auto
acmd_447a98350ccc,Antonio López de Santa Anna,https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna,battle_312582,Battle of Buena Vista,Battle of Buena Vista,side_b,Mexico,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_484d8d85e890,"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,battle_13067106,Battle of Znaim,Battle of Znaim,side_b,Austrian Empire Austrian Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,top200_full_audit_auto
acmd_5395ce28cf28,Archduke Eugen of Austria,https://en.wikipedia.org/wiki/Archduke_Eugen_of_Austria,battle_4211499,First Battle of the Isonzo,First Battle of the Isonzo,side_b,Austria-Hungary,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_b658c0e1a212,Ariel Sharon,https://en.wikipedia.org/wiki/Ariel_Sharon,battle_314792,Operation Defensive Shield,Operation Defensive Shield,side_a,Israel,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_f91559c9758a,Ashfaq Parvez Kayani,https://en.wikipedia.org/wiki/Ashfaq_Parvez_Kayani,battle_32941802,2011 India–Pakistan border skirmish,2011 India–Pakistan border skirmish,side_b,Pakistan,unknown,indecisive,Ceasefire,unknown,Retained page result is explicitly a ceasefire.,page_result_raw=Ceasefire,full_population_auto
acmd_bd873137b31f,Aslan Maskhadov,https://en.wikipedia.org/wiki/Aslan_Maskhadov,battle_7208318,Battle of Grozny (1999–2000),Battle of Grozny (1999–2000),side_b,Chechen Republic of Ichkeria,victory,defeat,Russian victory Fall of the Chechen Republic of Ichkeria Restoration of Russian federal control,victory,Retained page result begins with `russian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Russian victory Fall of the Chechen Republic of Ichkeria Restoration of Russian federal control,full_population_auto
acmd_ca2206e3956a,August Kork,https://en.wikipedia.org/wiki/August_Kork,battle_35740641,Battle of Głębokie,Battle of Głębokie,side_b,Russian SFSR,unknown,victory,Soviet victory,victory,Retained page result begins with `soviet` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Soviet victory,full_population_auto
acmd_84da4630153d,August von Mackensen,https://en.wikipedia.org/wiki/August_von_Mackensen,battle_4211390,Battle of Humin-Bolimów,Battle of Humin-Bolimów,side_a,German Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_c82dd758d242,Auguste de Marmont,https://en.wikipedia.org/wiki/Auguste_de_Marmont,battle_13067106,Battle of Znaim,Battle of Znaim,side_a,France French Empire,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,top200_full_audit_auto
acmd_3457532299cd,Baba Nobuharu,https://en.wikipedia.org/wiki/Baba_Nobuharu,battle_352041,Battles of Kawanakajima,Battles of Kawanakajima,side_a,Takeda clan,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_aaaf734ce0f6,Baghel Singh,https://en.wikipedia.org/wiki/Baghel_Singh,battle_47267604,Battle of Kup,Battle of Kup,side_b,Sikh Confederacy,unknown,defeat,Afghan victory,victory,Retained page result begins with `afghan` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Afghan victory,full_population_auto
acmd_b17cb5c3befe,Bahman Jaduya,https://en.wikipedia.org/wiki/Bahman_Jaduya,battle_7517465,Battle of Muzayyah,Battle of Muzayyah,side_b,"Sasanian Empire, Arab Christians",unknown,defeat,Muslim victory,victory,Retained page result begins with `muslim` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Muslim victory,full_population_auto
acmd_2b7a3a99fdc5,Baji Rao II,https://en.wikipedia.org/wiki/Baji_Rao_II,battle_20185392,Battle of Koregaon,Battle of Koregaon,side_b,"22px|border Peshwa faction, Maratha Confederacy",unknown,indecisive,InconclusiveShraddha Kumbhojkar 2015,unknown,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveShraddha Kumbhojkar 2015,full_population_auto
acmd_940e0bba1413,Banastre Tarleton,https://en.wikipedia.org/wiki/Banastre_Tarleton,battle_15907068,Battle of Wetzell's Mill,Battle of Wetzell's Mill,side_a,Kingdom of Great Britain Kingdom of Great Britain Loyalists,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_edc56db992a5,Barthélemy Louis Joseph Schérer,https://en.wikipedia.org/wiki/Barth%C3%A9lemy_Louis_Joseph_Sch%C3%A9rer,battle_28737264,Battle of Sprimont,Battle of Sprimont,side_a,France French Republic,unknown,victory,French victory France completes annexation of Austrian Netherlands,victory,Retained page result begins with `french` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=French victory France completes annexation of Austrian Netherlands,full_population_auto
acmd_edc56db992a5,Barthélemy Louis Joseph Schérer,https://en.wikipedia.org/wiki/Barth%C3%A9lemy_Louis_Joseph_Sch%C3%A9rer,battle_35361643,Battle of Verona (1799),Battle of Verona (1799),side_a,France France,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_ac43c188bcf2,Baybars,https://en.wikipedia.org/wiki/Baybars,battle_14728263,Siege of Tripoli (1271),Siege of Tripoli (1271),side_b,Mamluk Sultanate,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,top200_full_audit_auto
acmd_e202bcfdc08d,Bayezid I,https://en.wikipedia.org/wiki/Bayezid_I,battle_159361,Battle of Kosovo,Battle of Kosovo,side_a,Ottoman Empire Beylik of Isfendiyar,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,battle_5196520,Iberian War,Iberian War,side_a,Byzantine Empire Iberia Lazica Ghassanids Huns Heruli Aksum Kinda,unknown,indecisive,InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,unknown,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveNeusner 1970Greatrex Lieu 2002 Treaty of Eternal Peace Sasanians retained Iberia Byzantines retained Lazica,top200_full_audit_auto
acmd_d482cca018e4,Benjamin Blake,https://en.wikipedia.org/wiki/Benjamin_Blake_(admiral),battle_187530,Battle of Dover (1652),Battle of Dover (1652),side_b,Commonwealth of England,unknown,indecisive,Inconclusive,unknown,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive,full_population_auto
acmd_6616c2cebe63,Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_14640828,Battle of Anandpur (1700),Battle of Anandpur (1700),side_a,30px Khalsa (Sikhs),unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6616c2cebe63,Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_47332086,Battle of Basoli,Battle of Basoli,side_a,30px Khalsa (Sikhs),unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6616c2cebe63,Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_14511154,Battle of Bhangani,Battle of Bhangani,side_a,30px Akal Sena (Sikhs) Pir Budhu Shah's disciples Udasis,unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6616c2cebe63,Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_57529591,Battle of Guler (1696),Battle of Guler (1696),side_a,30px Akal Sena (Sikhs),unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_53fa8c1ce938,Bhai Mohkam Singh,https://en.wikipedia.org/wiki/Mohkam_Singh,battle_14640828,Battle of Anandpur (1700),Battle of Anandpur (1700),side_a,30px Khalsa (Sikhs),unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_53fa8c1ce938,Bhai Mohkam Singh,https://en.wikipedia.org/wiki/Mohkam_Singh,battle_47332086,Battle of Basoli,Battle of Basoli,side_a,30px Khalsa (Sikhs),unknown,victory,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6827330bcde9,Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_73351209,Battle of Anandpur (1682),Battle of Anandpur (1682),side_b,30px Chandel of Kahlur,unknown,defeat,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6827330bcde9,Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_73545530,Battle of Anandpur (1685),Battle of Anandpur (1685),side_b,30px Chandel of Kahlur 30px Kangra Guler,unknown,defeat,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory,full_population_auto
acmd_6827330bcde9,Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_14511154,Battle of Bhangani,Battle of Bhangani,side_b,"Alliance of 16 Hill States, including: 25px Kahlur 25px Garhwal 25px Kangra Guler Hindur Siba Jaswan",unknown,defeat,Sikh victory,victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory,full_population_auto
