analytic_commander_id,commander_name,best_supported_model,headline_rank,median_rank,rank_interval_80,rank_interval_90,rank_p10,rank_p90,rank_band_width_80,rank_band_width_90,confidence_category,stability_category,tier,strict_eligibility,broad_page_contribution_share,known_outcome_count,bootstrap_presence_rate,recommended_interpretation
acmd_ed6b2e7bab39,Hannibal,hierarchical_trust_v2,25,77.0,39-181,31-219,38.9,181.1,142.2,187.75,very_wide,stable,"Tier A, robust elite",eligible_field_commander,0.024998,18,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_9532eb3afefd,Enver Pasha,hierarchical_trust_v2,26,121.5,44-322,35-379,43.8,322.5,278.7,344.2,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.064522,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ac43c188bcf2,Baybars,hierarchical_trust_v2,27,69.5,21-295,15-379,20.9,295.3,274.4,363.8,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_041804c2e06c,Peng Dehuai,hierarchical_trust_v2,28,155.5,68-408,52-484,67.7,407.8,340.1,432.15,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_94390629dbd3,Frederick the Great,hierarchical_trust_v2,29,33.5,8-100,6-120,8.0,100.2,92.2,114.2,wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.030994,24,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_728cd65a1773,Heinz Guderian,hierarchical_trust_v2,30,62.5,10-218,7-259,10.0,218.1,208.1,252.45,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.0,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e57884ddb832,Charles-Pierre Augereau,hierarchical_trust_v2,31,32.0,9-98,5-119,8.8,98.1,89.3,114.2,wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.030512,26,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_70fd3b0db695,Takeda Shingen,hierarchical_trust_v2,32,41.0,18-88,15-97,17.9,88.2,70.3,82.15,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,18,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_882696f48db2,Hari Singh Nalwa,hierarchical_trust_v2,33,117.0,36-341,32-448,36.0,341.0,305.0,416.1,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.035888,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9f7dff80cfa8,Aurangzeb,hierarchical_trust_v2,34,57.0,12-213,9-314,12.0,213.1,201.1,305.3,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.003328,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_c82d0737a6d5,Ögedei Khan,hierarchical_trust_v2,35,57.0,14-187,11-259,14.0,187.0,173.0,248.25,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.067446,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8cc431cd8376,Dwight D. Eisenhower,hierarchical_trust_v2,36,142.5,54-312,40-412,54.0,311.5,257.5,372.25,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.542278,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_7efa0f23739e,Katō Kiyomasa,hierarchical_trust_v2,37,66.0,22-250,18-352,22.0,250.2,228.2,334.0,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.025046,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d689b62984e1,Tokugawa Ieyasu,hierarchical_trust_v2,38,51.0,9-190,6-292,9.0,190.5,181.5,285.55,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.02066,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_44036d145325,Georgy Zhukov,hierarchical_trust_v2,39,47.0,15-113,12-130,15.0,113.2,98.2,118.3,wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.250609,23,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d687b502db52,Mikhail Kutuzov,hierarchical_trust_v2,40,91.0,29-308,23-433,28.9,307.6,278.7,410.35,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.064123,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f47199d981fc,Stanisław Żółkiewski,hierarchical_trust_v2,41,31.0,10-161,8-230,10.0,161.1,151.1,222.0,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_dbaafbd66e5b,Charles XII of Sweden,hierarchical_trust_v2,42,52.0,19-128,13-165,19.0,128.4,109.4,152.0,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.00556,21,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_172afb0cb776,Fyodor Tolbukhin,hierarchical_trust_v2,43,87.0,43-220,38-287,42.8,220.2,177.4,249.05,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.547167,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b0bb8531c63e,Nikolai Vatutin,hierarchical_trust_v2,44,71.0,36-204,31-334,35.9,204.5,168.6,302.7,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.47248,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_0cf8151e7cf9,Rodion Malinovsky,hierarchical_trust_v2,45,79.5,40-193,35-235,40.0,193.1,153.1,200.45,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.562409,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_542b4086f360,Mustafa Kemal Atatürk,hierarchical_trust_v2,46,59.0,26-148,19-194,25.9,148.4,122.5,175.1,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.035975,22,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b7e856700f22,Konstantin Rokossovsky,hierarchical_trust_v2,47,56.0,19-175,16-202,18.9,174.6,155.7,186.05,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.461188,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_be0dead43626,Peter Wittgenstein,hierarchical_trust_v2,48,72.0,16-202,12-242,15.9,202.1,186.2,229.6,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.01146,14,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e106c97dfef1,Tolui,hierarchical_trust_v2,49,48.0,12-272,9-383,12.0,272.0,260.0,373.6,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.075602,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_4553085c23c9,Fedor von Bock,hierarchical_trust_v2,50,74.5,35-186,30-210,34.9,185.5,150.6,180.3,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.43661,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8ff67c26331f,Jean Victor Marie Moreau,hierarchical_trust_v2,51,18.5,5-58,3-82,5.0,58.1,53.1,79.05,wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,21,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_59f41bf60d8d,Ōyama Iwao,hierarchical_trust_v2,52,102.0,24-334,14-415,23.8,334.5,310.7,401.5,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.05684,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_632d6e1b916a,Amr ibn al-As,hierarchical_trust_v2,53,40.0,13-138,10-185,13.0,138.1,125.1,175.2,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_cf14a194e3dc,Mahmud Pasha Angelović,hierarchical_trust_v2,54,36.0,11-146,8-271,10.9,146.2,135.3,263.2,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_909d92cf788e,Maeda Toshiie,hierarchical_trust_v2,55,97.5,30-276,25-345,30.0,275.9,245.9,320.35,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.028504,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9acc0b2c5ac1,Walter Krueger,hierarchical_trust_v2,56,41.5,23-152,22-230,23.0,152.0,129.0,208.35,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.225952,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ccc95a8b031b,Oliver Cromwell,hierarchical_trust_v2,57,145.0,68-350,52-440,67.6,349.7,282.1,387.65,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.041154,6,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,hierarchical_trust_v2,58,89.0,48-198,40-236,48.0,198.1,150.1,196.3,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.028287,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_73305bd7a7e8,Aleksandr Vasilevsky,hierarchical_trust_v2,59,127.0,49-388,40-444,48.9,387.6,338.7,404.3,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",ambiguous_requires_review,0.564296,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6970e6b60c26,Saladin,hierarchical_trust_v2,60,71.0,29-193,24-227,28.9,193.4,164.5,202.75,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f3435c4f05ec,Claude-Victor Perrin,hierarchical_trust_v2,61,90.0,26-157,19-173,25.9,157.3,131.4,154.05,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.007812,22,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_eec0f4ec373e,Francis Vere,hierarchical_trust_v2,62,25.0,11-85,9-129,11.0,85.0,74.0,120.1,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_429b31f5c5fd,Philip the Good,hierarchical_trust_v2,63,92.0,29-308,20-446,29.0,307.6,278.6,426.35,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8a9267fb6cd4,John III Sobieski,hierarchical_trust_v2,64,83.5,23-266,16-375,22.8,265.6,242.8,359.15,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.017295,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6801fcdfc85b,Sayenqueraghta,hierarchical_trust_v2,65,82.5,20-284,13-404,19.9,283.5,263.6,391.1,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.04304,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6098828ef6a4,Petar Bojović,hierarchical_trust_v2,66,147.0,53-541,42-645,52.9,541.2,488.3,602.55,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.2145,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_3435325eb9b0,George S. Patton,hierarchical_trust_v2,67,88.0,36-258,29-384,35.9,258.1,222.2,355.25,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.488468,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9b46a317ac31,Ahmad Shah Durrani,hierarchical_trust_v2,68,109.5,23-346,15-446,23.0,346.4,323.4,431.0,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",hierarchical_trust_v2,69,149.0,63-373,53-471,63.0,373.0,310.0,418.35,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ed738e8e2d78,Ernst Gideon von Laudon,hierarchical_trust_v2,70,148.5,33-425,23-496,32.9,425.2,392.3,473.2,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.02194,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_a33c5f70ac13,Živojin Mišić,hierarchical_trust_v2,71,143.0,52-425,39-556,52.0,424.9,372.9,517.25,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.229041,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f0aba2fd984a,Kirill Meretskov,hierarchical_trust_v2,72,132.0,48-328,34-436,47.9,328.4,280.5,402.4,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",ambiguous_requires_review,0.509047,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_38a594d34cab,"Édouard Mortier, Duke of Treviso",hierarchical_trust_v2,73,71.5,22-143,14-178,21.8,143.1,121.3,164.4,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.04671,18,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_231817819511,Nader Shah,hierarchical_trust_v2,74,83.5,24-187,18-242,23.9,187.2,163.3,224.4,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.018003,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ad691790bfae,Ferdinand Foch,hierarchical_trust_v2,75,70.0,38-159,31-186,38.0,159.2,121.2,155.0,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,15,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_7fb0d9d2735e,Ivan Konev,hierarchical_trust_v2,76,127.5,58-244,45-297,57.9,244.5,186.6,252.1,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.262919,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8859ec6c1865,Babur,hierarchical_trust_v2,77,106.0,32-365,28-486,31.9,365.1,333.2,458.4,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_a318dc1eb6ce,Michel Ney,hierarchical_trust_v2,78,104.0,49-173,37-195,49.0,173.0,124.0,158.05,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.014492,32,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6708954ecbb0,Jan Karol Chodkiewicz,hierarchical_trust_v2,79,60.5,22-228,18-305,21.9,228.3,206.4,287.45,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_92915a68e51e,Jassa Singh Ahluwalia,hierarchical_trust_v2,80,112.5,32-329,25-478,31.9,328.9,297.0,452.85,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_88665d708ff0,Bertrand du Guesclin,hierarchical_trust_v2,81,119.0,35-376,27-558,34.8,376.3,341.5,531.4,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.018474,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d1625dd6e2c5,Joseph Stalin,hierarchical_trust_v2,82,186.5,81-345,61-420,80.8,344.6,263.8,359.3,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.481762,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_94064b179f40,Suleiman the Magnificent,hierarchical_trust_v2,83,34.0,7-100,4-119,6.9,100.0,93.1,115.05,wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b35177a2a7fb,Murad II,hierarchical_trust_v2,84,79.5,25-181,19-240,24.9,181.1,156.2,221.15,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.032704,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e98a8506dc92,Ivan Bagramyan,hierarchical_trust_v2,85,92.5,48-264,41-328,48.0,264.0,216.0,287.1,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_operational_commander,0.713242,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_47cd11aab7f1,Gustavus Adolphus,hierarchical_trust_v2,86,101.5,33-261,22-324,32.8,261.2,228.4,302.2,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_64e8acafffef,Carl Gustaf Wrangel,hierarchical_trust_v2,87,119.5,35-464,25-528,35.0,463.6,428.6,502.9,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.028302,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_dc8ad03ef21e,Michiel de Ruyter,hierarchical_trust_v2,88,115.5,37-260,28-331,36.7,260.1,223.4,303.55,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.045935,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_fc2e14f0b93d,Prince Rupert of the Rhine,hierarchical_trust_v2,89,110.0,50-204,36-236,49.9,204.2,154.3,200.3,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.016956,15,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e2d4eedc368b,Yamagata Aritomo,hierarchical_trust_v2,90,162.0,35-483,26-723,35.0,483.0,448.0,697.35,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.077601,6,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_021fcaeb00e7,Ambrogio Spinola,hierarchical_trust_v2,91,133.5,35-425,22-550,34.8,425.0,390.2,528.1,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_0a61bdf63c60,Laurent de Gouvion Saint-Cyr,hierarchical_trust_v2,92,86.5,22-171,16-189,22.0,171.2,149.2,173.15,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_71b395590bf1,Zubayr ibn al-Awwam,hierarchical_trust_v2,93,174.0,38-523,29-560,37.8,522.9,485.1,531.4,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.053892,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8d5eefbeaa73,Guru Gobind Singh,hierarchical_trust_v2,94,56.0,18-162,13-249,18.0,162.4,144.4,236.05,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
