display_name,canonical_wikipedia_url,structural_classification,dominant_verification_status,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,materially_inflated,structurally_suspect,13,11,1,1,0,unresolved_after_review,confirmed_stable_after_review,11,11,B=6; O=5; C=0; W=0,B=6; O=5; C=0; W=0,10,10,V=9; D=0; N=1; U=1,V=9; D=0; N=1; U=1,0,1,1,1,42.0,43.0,49.0,48.0,model_sensitive_band,model_sensitive_band,caution,caution
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,high_priority_manual_concern,structurally_suspect,33,29,1,3,0,unresolved_after_review,confirmed_stable_after_review,29,29,B=24; O=0; C=0; W=5,B=24; O=0; C=0; W=5,26,26,V=20; D=6; N=0; U=3,V=20; D=6; N=0; U=3,0,3,2,2,43.0,40.0,86.0,84.0,model_sensitive_band,model_sensitive_band,caution,caution
Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,materially_inflated,verified_broad,17,13,4,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,13,13,B=5; O=8; C=0; W=0,B=5; O=8; C=0; W=0,11,11,V=10; D=0; N=1; U=2,V=10; D=0; N=1; U=2,1,2,2,2,44.0,45.0,56.0,54.0,model_sensitive_band,model_sensitive_band,caution,caution
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,materially_inflated,structurally_suspect,14,12,1,1,0,corrected,confirmed_stable_after_review,12,12,B=9; O=0; C=0; W=3,B=9; O=0; C=0; W=3,12,12,V=10; D=2; N=0; U=0,V=10; D=2; N=0; U=0,2,0,0,0,45.0,44.0,58.0,59.0,model_sensitive_band,model_sensitive_band,caution,caution
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,materially_inflated,structurally_suspect,13,9,2,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=5; O=2; C=0; W=2,B=5; O=2; C=0; W=2,7,7,V=6; D=1; N=0; U=2,V=6; D=1; N=0; U=2,1,2,2,2,46.0,47.0,45.0,47.0,model_sensitive_band,model_sensitive_band,caution,caution
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,materially_inflated,structurally_suspect,26,17,7,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,17,17,B=5; O=6; C=0; W=6,B=5; O=6; C=0; W=6,10,10,V=6; D=2; N=2; U=7,V=6; D=2; N=2; U=7,4,7,7,7,47.0,46.0,94.0,87.0,model_sensitive_band,model_sensitive_band,caution,caution
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,materially_inflated,verified_broad,20,17,3,0,0,corrected,confirmed_stable_after_review,17,17,B=10; O=7; C=0; W=0,B=10; O=7; C=0; W=0,17,17,V=14; D=3; N=0; U=0,V=14; D=3; N=0; U=0,2,0,0,0,48.0,49.0,72.0,71.0,model_sensitive_band,model_sensitive_band,caution,caution
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,materially_inflated,structurally_suspect,29,21,7,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,21,21,B=16; O=5; C=0; W=0,B=16; O=5; C=0; W=0,17,17,V=9; D=5; N=3; U=4,V=9; D=5; N=3; U=4,2,4,4,4,49.0,48.0,109.0,110.0,model_sensitive_band,model_sensitive_band,caution,caution
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,materially_inflated,structurally_suspect,16,12,3,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,10,10,V=9; D=1; N=0; U=2,V=9; D=1; N=0; U=2,1,2,1,1,50.0,50.0,52.0,53.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,materially_inflated,verified_broad,23,16,7,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,16,16,B=8; O=7; C=0; W=1,B=8; O=7; C=0; W=1,13,13,V=11; D=1; N=1; U=3,V=11; D=1; N=1; U=3,1,3,2,2,,,,,,,,
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,high_priority_manual_concern,structurally_suspect,31,20,2,9,0,corrected_but_partially_unresolved,confirmed_stable_after_review,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,16,16,V=12; D=4; N=0; U=4,V=12; D=4; N=0; U=4,1,4,4,4,,,,,,,,
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,mildly_inflated,verified_broad,13,12,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,10,10,V=10; D=0; N=0; U=2,V=10; D=0; N=0; U=2,3,2,1,1,53.0,54.0,34.0,33.0,model_sensitive_band,model_sensitive_band,moderate,moderate
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,materially_inflated,verified_broad,22,18,4,0,0,unresolved_after_review,confirmed_stable_after_review,18,18,B=13; O=5; C=0; W=0,B=13; O=5; C=0; W=0,13,13,V=11; D=2; N=0; U=5,V=11; D=2; N=0; U=5,0,5,4,4,55.0,56.0,79.0,81.0,model_sensitive_band,model_sensitive_band,caution,caution
Tolui,https://en.wikipedia.org/wiki/Tolui,mildly_inflated,verified_broad,11,10,1,0,0,corrected,confirmed_stable_after_review,10,10,B=7; O=0; C=0; W=3,B=7; O=0; C=0; W=3,10,10,V=9; D=1; N=0; U=0,V=9; D=1; N=0; U=0,2,0,0,0,56.0,58.0,38.0,37.0,model_sensitive_band,model_sensitive_band,caution,caution
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,materially_inflated,structurally_suspect,16,10,4,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,2,2,V=2; D=0; N=0; U=8,V=2; D=0; N=0; U=8,1,8,6,6,57.0,57.0,12.0,12.0,model_sensitive_band,model_sensitive_band,caution,caution
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,materially_inflated,structurally_suspect,13,12,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,12,12,B=11; O=0; C=0; W=1,B=11; O=0; C=0; W=1,10,10,V=8; D=1; N=1; U=2,V=8; D=1; N=1; U=2,3,2,2,2,58.0,59.0,50.0,52.0,model_sensitive_band,model_sensitive_band,caution,caution
Dragut,https://en.wikipedia.org/wiki/Dragut,materially_inflated,structurally_suspect,11,8,2,1,0,unresolved_after_review,confirmed_stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,6,6,V=5; D=1; N=0; U=2,V=5; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,materially_inflated,structurally_suspect,35,28,5,2,0,unresolved_after_review,confirmed_stable_after_review,28,28,B=21; O=0; C=0; W=7,B=21; O=0; C=0; W=7,22,22,V=14; D=8; N=0; U=6,V=14; D=8; N=0; U=6,0,6,4,4,,,,,,,,
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,mildly_inflated,verified_broad,14,13,1,0,0,corrected,confirmed_stable_after_review,13,13,B=12; O=0; C=0; W=1,B=12; O=0; C=0; W=1,13,13,V=12; D=1; N=0; U=0,V=12; D=1; N=0; U=0,2,0,0,0,61.0,60.0,57.0,56.0,model_sensitive_band,model_sensitive_band,caution,caution
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,high_priority_manual_concern,structurally_suspect,13,9,1,3,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,8,8,V=7; D=1; N=0; U=1,V=7; D=1; N=0; U=1,0,1,1,1,62.0,62.0,46.0,45.0,model_sensitive_band,model_sensitive_band,caution,caution
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,materially_inflated,verified_broad,22,19,3,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,19,19,B=18; O=1; C=0; W=0,B=18; O=1; C=0; W=0,15,15,V=11; D=1; N=3; U=4,V=11; D=1; N=3; U=4,1,4,1,1,63.0,63.0,83.0,86.0,model_sensitive_band,model_sensitive_band,caution,caution
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,high_priority_manual_concern,structurally_suspect,17,10,1,6,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=6; O=4; C=0; W=0,B=6; O=4; C=0; W=0,8,8,V=6; D=1; N=1; U=2,V=6; D=1; N=1; U=2,2,2,1,1,,,,,,,,
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,materially_inflated,verified_broad,17,11,6,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,11,11,B=4; O=7; C=0; W=0,B=4; O=7; C=0; W=0,10,10,V=10; D=0; N=0; U=1,V=10; D=0; N=0; U=1,4,1,1,1,65.0,66.0,64.0,63.0,model_sensitive_band,model_sensitive_band,caution,caution
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,structurally_clean,verified_core,12,12,0,0,0,unresolved_after_review,material_change,12,12,B=8; O=0; C=0; W=4,B=8; O=0; C=0; W=4,8,8,V=7; D=1; N=0; U=4,V=7; D=1; N=0; U=4,0,4,1,1,67.0,74.0,51.0,57.0,model_sensitive_band,model_sensitive_band,caution,caution
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,materially_inflated,verified_broad,11,6,5,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=5; D=0; N=0; U=1,V=5; D=0; N=0; U=1,0,1,1,1,68.0,72.0,65.0,65.0,model_sensitive_band,model_sensitive_band,caution,caution
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,materially_inflated,structurally_suspect,12,11,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,11,11,B=8; O=0; C=0; W=3,B=8; O=0; C=0; W=3,9,9,V=7; D=2; N=0; U=2,V=7; D=2; N=0; U=2,1,2,2,2,,,,,,,,
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,materially_inflated,verified_broad,23,19,4,0,0,unresolved_after_review,confirmed_stable_after_review,19,19,B=15; O=0; C=0; W=4,B=15; O=0; C=0; W=4,6,6,V=6; D=0; N=0; U=13,V=6; D=0; N=0; U=13,0,13,13,13,70.0,68.0,74.0,70.0,model_sensitive_band,model_sensitive_band,caution,caution
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,mildly_inflated,verified_broad,19,18,1,0,0,unresolved_after_review,confirmed_stable_after_review,18,18,B=18; O=0; C=0; W=0,B=18; O=0; C=0; W=0,17,17,V=14; D=3; N=0; U=1,V=14; D=3; N=0; U=1,0,1,1,1,71.0,70.0,81.0,82.0,model_sensitive_band,model_sensitive_band,caution,caution
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,materially_inflated,verified_broad,24,20,4,0,0,unresolved_after_review,confirmed_stable_after_review,20,20,B=16; O=0; C=0; W=4,B=16; O=0; C=0; W=4,12,12,V=9; D=3; N=0; U=8,V=9; D=3; N=0; U=8,0,8,7,7,,,,,,,,
