analytic_commander_id,commander_name,best_supported_model,headline_rank,median_rank,rank_interval_80,rank_interval_90,rank_p10,rank_p90,rank_band_width_80,rank_band_width_90,confidence_category,stability_category,tier,strict_eligibility,broad_page_contribution_share,known_outcome_count,bootstrap_presence_rate,recommended_interpretation
acmd_36041001b0b5,Louis XIV,hierarchical_trust_v2,11,15.5,5-60,4-110,5.0,60.1,55.1,106.15,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.077055,11,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",hierarchical_trust_v2,12,17.0,4-77,3-93,4.0,77.1,73.1,90.25,wide,stable,"Tier A, robust elite",eligible_field_commander,0.0,15,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_b11217dd158b,Mehmed II,hierarchical_trust_v2,13,21.0,3-84,2-110,3.0,84.2,81.2,108.05,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.01843,21,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_4ed31628d983,Belisarius,hierarchical_trust_v2,14,20.0,4-76,3-118,4.0,76.0,72.0,114.6,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.021691,18,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_680356dbc48c,Louis-Gabriel Suchet,hierarchical_trust_v2,15,24.0,9-78,6-100,9.0,78.2,69.2,94.5,wide,very_stable,"Tier A, robust elite",eligible_field_commander,0.005759,19,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_9506d32c4783,André Masséna,hierarchical_trust_v2,16,17.0,6-63,5-79,6.0,63.1,57.1,74.15,wide,stable,"Tier A, robust elite",eligible_field_commander,0.0079,37,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",hierarchical_trust_v2,17,25.0,13-57,11-68,12.9,57.0,44.1,57.15,wide,very_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,18,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_2ed09394c0e3,Khalid ibn al-Walid,hierarchical_trust_v2,18,12.0,7-31,6-33,7.0,31.0,24.0,27.1,moderate,very_stable,"Tier A, robust elite",eligible_field_commander,0.0,39,1.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported."
acmd_d7b7bb3c084e,Genghis Khan,hierarchical_trust_v2,19,24.5,3-106,2-162,3.0,106.3,103.3,160.3,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.044194,15,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_31e8258ee555,Hubert Gough,hierarchical_trust_v2,20,34.5,10-109,6-142,9.9,109.0,99.1,136.1,wide,stable,"Tier A, robust elite",eligible_field_commander,0.053235,17,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_73ed44aa1867,Bernard Montgomery,hierarchical_trust_v2,21,32.0,15-103,14-140,15.0,103.2,88.2,126.2,wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.488638,12,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_d53c51d2e48c,Maharaja Ranjit Singh,hierarchical_trust_v2,22,48.0,8-264,3-317,8.0,264.4,256.4,314.25,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.123879,9,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_52501a875538,Alexander the Great,hierarchical_trust_v2,23,47.0,16-140,8-174,15.9,140.1,124.2,166.1,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.01093,11,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_7ece542ce56e,Winfield Scott,hierarchical_trust_v2,24,39.5,6-222,3-274,6.0,222.0,216.0,271.15,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.026489,8,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_ed6b2e7bab39,Hannibal,hierarchical_trust_v2,25,32.0,12-106,11-139,12.0,106.0,94.0,128.05,wide,stable,"Tier A, robust elite",eligible_field_commander,0.024998,18,1.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.
acmd_9532eb3afefd,Enver Pasha,hierarchical_trust_v2,26,49.0,11-188,8-242,10.9,188.0,177.1,234.05,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.064522,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ac43c188bcf2,Baybars,hierarchical_trust_v2,27,65.0,22-240,17-327,22.0,240.3,218.3,310.15,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_041804c2e06c,Peng Dehuai,hierarchical_trust_v2,28,62.0,14-242,10-313,14.0,241.7,227.7,303.05,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_94390629dbd3,Frederick the Great,hierarchical_trust_v2,29,38.5,8-105,5-137,8.0,105.0,97.0,132.25,wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.030994,24,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_728cd65a1773,Heinz Guderian,hierarchical_trust_v2,30,60.0,17-165,12-220,17.0,165.1,148.1,208.1,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.0,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e57884ddb832,Charles-Pierre Augereau,hierarchical_trust_v2,31,39.5,9-112,4-134,9.0,112.2,103.2,130.2,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.030512,26,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_70fd3b0db695,Takeda Shingen,hierarchical_trust_v2,32,39.0,25-67,24-78,25.0,67.1,42.1,54.05,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,18,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_882696f48db2,Hari Singh Nalwa,hierarchical_trust_v2,33,65.0,11-257,8-368,11.0,257.3,246.3,360.15,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.035888,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9f7dff80cfa8,Aurangzeb,hierarchical_trust_v2,34,60.0,14-218,9-285,14.0,218.2,204.2,276.4,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.003328,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_c82d0737a6d5,Ögedei Khan,hierarchical_trust_v2,35,68.0,16-207,11-281,16.0,207.3,191.3,269.8,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.067446,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8cc431cd8376,Dwight D. Eisenhower,hierarchical_trust_v2,36,74.5,15-223,8-287,15.0,223.0,208.0,279.15,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.542278,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_7efa0f23739e,Katō Kiyomasa,hierarchical_trust_v2,37,59.5,20-216,17-333,19.9,215.6,195.7,316.3,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.025046,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d689b62984e1,Tokugawa Ieyasu,hierarchical_trust_v2,38,57.0,9-182,5-296,9.0,182.4,173.4,291.35,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.02066,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_44036d145325,Georgy Zhukov,hierarchical_trust_v2,39,50.0,16-113,13-140,16.0,113.0,97.0,127.05,wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.250609,23,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d687b502db52,Mikhail Kutuzov,hierarchical_trust_v2,40,65.0,20-244,17-352,20.0,244.2,224.2,335.15,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.064123,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f47199d981fc,Stanisław Żółkiewski,hierarchical_trust_v2,41,59.0,31-209,26-256,30.9,208.9,178.0,230.4,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_dbaafbd66e5b,Charles XII of Sweden,hierarchical_trust_v2,42,63.5,18-151,14-175,18.0,151.2,133.2,161.15,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.00556,21,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_172afb0cb776,Fyodor Tolbukhin,hierarchical_trust_v2,43,63.5,34-176,30-263,34.0,175.8,141.8,233.4,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.547167,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b0bb8531c63e,Nikolai Vatutin,hierarchical_trust_v2,44,67.5,36-177,30-294,36.0,177.3,141.3,264.1,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.47248,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_0cf8151e7cf9,Rodion Malinovsky,hierarchical_trust_v2,45,64.5,29-157,24-200,28.8,157.1,128.3,175.65,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.562409,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_542b4086f360,Mustafa Kemal Atatürk,hierarchical_trust_v2,46,47.5,16-126,13-158,16.0,126.3,110.3,145.0,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.035975,22,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b7e856700f22,Konstantin Rokossovsky,hierarchical_trust_v2,47,62.5,23-168,20-207,22.9,168.1,145.2,187.4,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.461188,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_be0dead43626,Peter Wittgenstein,hierarchical_trust_v2,48,73.0,23-191,16-220,22.9,191.0,168.1,204.1,very_wide,moderately_stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.01146,14,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e106c97dfef1,Tolui,hierarchical_trust_v2,49,65.5,21-301,17-405,21.0,301.0,280.0,388.0,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.075602,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_4553085c23c9,Fedor von Bock,hierarchical_trust_v2,50,58.5,31-150,27-184,31.0,150.3,119.3,157.35,very_wide,stable,"Tier B, elite but model-sensitive",eligible_field_commander,0.43661,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8ff67c26331f,Jean Victor Marie Moreau,hierarchical_trust_v2,51,52.5,28-121,24-139,27.9,121.2,93.3,115.1,wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,21,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_59f41bf60d8d,Ōyama Iwao,hierarchical_trust_v2,52,89.0,19-278,12-355,19.0,278.1,259.1,343.5,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.05684,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_632d6e1b916a,Amr ibn al-As,hierarchical_trust_v2,53,58.0,31-131,27-203,31.0,131.4,100.4,175.95,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_cf14a194e3dc,Mahmud Pasha Angelović,hierarchical_trust_v2,54,69.5,36-204,33-273,35.9,204.0,168.1,240.3,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_909d92cf788e,Maeda Toshiie,hierarchical_trust_v2,55,79.5,22-225,16-275,22.0,225.1,203.1,259.4,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.028504,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9acc0b2c5ac1,Walter Krueger,hierarchical_trust_v2,56,63.0,33-224,31-284,33.0,224.1,191.1,253.2,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.225952,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ccc95a8b031b,Oliver Cromwell,hierarchical_trust_v2,57,78.0,35-258,31-312,35.0,257.5,222.5,280.95,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.041154,6,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,hierarchical_trust_v2,58,81.0,33-180,28-216,32.9,180.0,147.1,188.2,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.028287,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_73305bd7a7e8,Aleksandr Vasilevsky,hierarchical_trust_v2,59,86.5,31-342,28-414,31.0,341.7,310.7,386.5,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",ambiguous_requires_review,0.564296,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6970e6b60c26,Saladin,hierarchical_trust_v2,60,57.0,35-115,33-173,35.0,115.1,80.1,140.15,wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f3435c4f05ec,Claude-Victor Perrin,hierarchical_trust_v2,61,74.0,18-140,12-163,18.0,140.2,122.2,151.15,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.007812,22,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_eec0f4ec373e,Francis Vere,hierarchical_trust_v2,62,69.5,41-154,38-185,41.0,154.3,113.3,147.3,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_429b31f5c5fd,Philip the Good,hierarchical_trust_v2,63,104.0,28-289,19-386,27.9,289.2,261.3,367.25,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8a9267fb6cd4,John III Sobieski,hierarchical_trust_v2,64,107.0,33-277,24-354,32.9,277.1,244.2,329.95,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.017295,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6801fcdfc85b,Sayenqueraghta,hierarchical_trust_v2,65,108.5,33-325,22-418,32.9,325.3,292.4,395.55,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.04304,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6098828ef6a4,Petar Bojović,hierarchical_trust_v2,66,96.5,19-397,14-502,18.9,396.9,378.0,487.5,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.2145,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_3435325eb9b0,George S. Patton,hierarchical_trust_v2,67,85.0,42-275,35-368,41.9,275.0,233.1,332.65,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.488468,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_9b46a317ac31,Ahmad Shah Durrani,hierarchical_trust_v2,68,105.5,31-339,21-393,31.0,339.2,308.2,372.45,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",hierarchical_trust_v2,69,70.0,27-271,23-330,27.0,271.2,244.2,307.35,very_wide,stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ed738e8e2d78,Ernst Gideon von Laudon,hierarchical_trust_v2,70,103.5,17-316,10-394,17.0,316.3,299.3,383.65,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.02194,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_a33c5f70ac13,Živojin Mišić,hierarchical_trust_v2,71,112.0,23-333,16-459,23.0,333.3,310.3,443.1,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.229041,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_f0aba2fd984a,Kirill Meretskov,hierarchical_trust_v2,72,109.0,30-286,23-383,30.0,286.4,256.4,360.15,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",ambiguous_requires_review,0.509047,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_38a594d34cab,"Édouard Mortier, Duke of Treviso",hierarchical_trust_v2,73,76.0,20-149,13-195,19.9,149.1,129.2,182.1,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.04671,18,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_231817819511,Nader Shah,hierarchical_trust_v2,74,83.5,22-186,16-222,21.9,186.0,164.1,206.1,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.018003,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_ad691790bfae,Ferdinand Foch,hierarchical_trust_v2,75,103.0,48-208,39-278,48.0,208.1,160.1,239.35,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,15,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_7fb0d9d2735e,Ivan Konev,hierarchical_trust_v2,76,81.0,27-168,22-197,26.9,168.4,141.5,175.05,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.262919,17,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8859ec6c1865,Babur,hierarchical_trust_v2,77,87.5,27-318,22-438,27.0,318.0,291.0,416.1,very_wide,stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,7,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_a318dc1eb6ce,Michel Ney,hierarchical_trust_v2,78,75.0,28-144,19-160,27.9,144.0,116.1,141.05,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.014492,32,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_6708954ecbb0,Jan Karol Chodkiewicz,hierarchical_trust_v2,79,93.5,48-239,43-297,47.8,239.0,191.2,253.8,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_92915a68e51e,Jassa Singh Ahluwalia,hierarchical_trust_v2,80,100.0,26-329,21-369,25.9,329.2,303.3,347.85,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_88665d708ff0,Bertrand du Guesclin,hierarchical_trust_v2,81,114.0,37-368,29-462,36.9,367.5,330.6,432.85,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.018474,9,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_d1625dd6e2c5,Joseph Stalin,hierarchical_trust_v2,82,99.5,32-228,24-273,31.9,227.8,195.9,249.3,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_field_commander,0.481762,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_94064b179f40,Suleiman the Magnificent,hierarchical_trust_v2,83,86.0,28-175,21-191,28.0,175.3,147.3,170.1,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_b35177a2a7fb,Murad II,hierarchical_trust_v2,84,94.0,28-210,22-248,27.9,209.6,181.7,226.15,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.032704,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e98a8506dc92,Ivan Bagramyan,hierarchical_trust_v2,85,114.0,51-329,43-367,51.0,329.2,278.2,324.1,very_wide,model_sensitive,"Tier C, high performer with evidence caveats",eligible_operational_commander,0.713242,10,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_47cd11aab7f1,Gustavus Adolphus,hierarchical_trust_v2,86,84.0,22-192,14-256,21.9,192.5,170.6,242.5,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,12,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_64e8acafffef,Carl Gustaf Wrangel,hierarchical_trust_v2,87,120.5,37-456,26-519,36.9,456.0,419.1,493.3,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.028302,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_dc8ad03ef21e,Michiel de Ruyter,hierarchical_trust_v2,88,98.5,30-204,18-279,30.0,204.1,174.1,260.7,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.045935,11,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_fc2e14f0b93d,Prince Rupert of the Rhine,hierarchical_trust_v2,89,79.5,29-166,22-183,29.0,166.1,137.1,160.7,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.016956,15,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_e2d4eedc368b,Yamagata Aritomo,hierarchical_trust_v2,90,141.5,25-412,17-566,25.0,411.5,386.5,549.35,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.077601,6,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_021fcaeb00e7,Ambrogio Spinola,hierarchical_trust_v2,91,125.0,29-367,25-460,28.9,366.9,338.0,434.9,very_wide,moderately_stable,"Tier D, strong but narrow-category performer",eligible_siege_or_engineering_commander,0.0,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_0a61bdf63c60,Laurent de Gouvion Saint-Cyr,hierarchical_trust_v2,92,99.5,23-184,19-207,22.9,184.1,161.2,188.25,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,16,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_71b395590bf1,Zubayr ibn al-Awwam,hierarchical_trust_v2,93,138.0,30-442,18-529,29.8,441.6,411.8,511.35,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.053892,8,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
acmd_8d5eefbeaa73,Guru Gobind Singh,hierarchical_trust_v2,94,94.0,42-208,37-252,41.8,207.6,165.8,215.15,very_wide,moderately_stable,"Tier C, high performer with evidence caveats",eligible_field_commander,0.0,13,1.0,Wide uncertainty: use tier and sensitivity context rather than exact adjacent rank.
